ëÂéöñº,ëçåÀêî,ì|âÛåÀêî,î≠âŒåÀêî,è¡é~åÀêî,îºèƒåÀêî,èƒé∏åÀêî,èZëÓì|âÛó¶,èoâŒó¶,è¡é~ó¶,îºèƒó¶,èƒé∏ó¶,êlå˚ëçêî,éÄñSé“êî,ïâèùé“êî,éÄñSó¶,ïâèùó¶,ìTãí,X,Y,ífëwãóó£
è„èÌãg,116,31,2,0,0,12,26.72,1.72,0,0,10.34,550,7,22,1.27,4,âi‡_(1929),135.0743749,35.54930585,2155.335
â∫èÌãg,67,24,0,0,0,0,35.82,0,0,0,0,310,1,11,0.32,3.55,âi‡_(1929),135.0750213,35.5565072,1602.072
êXñ{,92,7,0,0,0,0,7.61,0,0,0,0,467,0,0,0,0,âi‡_(1929),135.1285795,35.58321018,3121.459
éOèd,126,47,1,1,0,0,37.3,0.79,0.79,0,0,607,2,5,0.33,0.82,âi‡_(1929),135.1148919,35.5668265,939.3182
íJì‡,72,18,1,0,0,1,25,1.39,0,0,1.39,402,0,3,0,0.75,âi‡_(1929),135.0972616,35.56361024,126.6266
éOç‚,35,6,0,0,0,0,17.14,0,0,0,0,165,0,2,0,1.21,âi‡_(1929),135.1031533,35.57699913,1036.489
é¸ûk,236,35,2,1,0,1,14.83,0.85,0.42,0,0.42,1466,7,38,0.48,2.59,âi‡_(1929),135.102511,35.58755876,2105.653
âÕï”,267,27,3,0,0,3,10.11,1.12,0,0,1.12,1260,6,40,0.48,3.17,âi‡_(1929),135.0930174,35.60200389,2194.415
êVí¨,132,38,1,0,0,1,28.79,0.76,0,0,0.76,617,6,14,0.97,2.27,âi‡_(1929),135.0869861,35.60899847,2202.277
çréR,145,32,0,0,0,0,22.07,0,0,0,0,698,5,11,0.72,1.58,âi‡_(1929),135.0833576,35.61688452,1817.459
ì‡ãL,38,5,0,0,0,0,13.16,0,0,0,0,184,1,2,0.54,1.09,âi‡_(1929),135.0835321,35.62942477,1527.307
íOîg,157,89,8,0,0,10,56.69,5.1,0,0,6.37,727,40,67,5.5,9.22,âi‡_(1929),135.0749989,35.6329198,1019.064
ñÓìc,74,16,0,0,0,0,21.62,0,0,0,0,430,4,18,0.93,4.19,âi‡_(1929),135.0763364,35.64172081,1894.521
ã¥ñÿ,58,38,2,0,0,2,65.52,3.45,0,0,3.45,364,3,24,0.82,6.59,âi‡_(1929),135.0665586,35.65426227,1812.412
êŒä€,25,25,1,0,0,1,100,4,0,0,4,128,8,20,6.25,15.63,âi‡_(1929),135.0492215,35.64556305,94.68576
ê‘ç‚,45,37,2,0,0,3,82.22,4.44,0,0,6.67,295,15,32,5.08,10.85,âi‡_(1929),135.0541136,35.63887348,510.7905
ñ‘ñÏ,514,477,19,1,4,250,92.8,3.7,0.19,0.78,48.64,2409,199,263,8.26,10.92,âi‡_(1929),135.005237,35.675659,1261.672
â∫â™,121,120,8,0,0,16,99.17,6.61,0,0,13.22,510,54,51,10.59,10,âi‡_(1929),135.0211328,35.67482104,115.2421
êÛñŒêÏ,423,195,17,2,0,22,46.1,4.02,0.47,0,5.2,2420,39,104,1.61,4.3,âi‡_(1929),135.0212138,35.68789195,205.5914
è¨ïl,93,45,3,0,1,2,48.39,3.23,0,1.08,2.15,457,10,59,2.19,12.91,âi‡_(1929),135.0343597,35.69125743,1423.082
ïlãl,137,127,3,0,1,30,92.7,2.19,0,0.73,21.9,753,26,39,3.45,5.18,âi‡_(1929),134.9680981,35.66466312,4539.092
âñç],88,73,1,0,0,5,82.95,1.14,0,0,5.68,532,11,42,2.07,7.89,âi‡_(1929),134.9721357,35.67507054,3506.424
àÈ,74,74,20,0,1,68,100,27.03,0,1.35,91.89,395,20,49,5.06,12.41,âi‡_(1929),134.9950071,35.69005889,867.7273
è„ñÏ,51,36,1,0,0,1,70.59,1.96,0,0,1.96,261,6,19,2.3,7.28,âi‡_(1929),134.9698516,35.65433828,5066.564
â∫òaìc,35,14,0,0,0,0,40,0,0,0,0,192,0,1,0,0.52,âi‡_(1929),134.9747883,35.64861605,4904.421
íÜäŸ,46,11,0,0,0,0,23.91,0,0,0,0,195,0,3,0,1.54,âi‡_(1929),134.981436,35.653536,4125.406
â™ìc,33,15,1,0,0,1,45.45,3.03,0,0,3.03,198,0,1,0,0.51,âi‡_(1929),134.9868621,35.65228268,3751.546
ïUñÏ,31,10,0,0,0,0,32.26,0,0,0,0,184,0,2,0,1.09,âi‡_(1929),134.9635286,35.64855479,5828.767
çañÏ,15,1,0,0,0,0,6.67,0,0,0,0,104,0,0,0,0,âi‡_(1929),134.9698251,35.63981523,5792.126
ì˙òaìc,24,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,âi‡_(1929),134.9908005,35.62914902,4540.315
êVèØ,66,19,0,0,0,0,28.79,0,0,0,0,360,7,42,1.94,11.67,âi‡_(1929),135.0163985,35.65626337,1358.321
çÇã¥,55,55,6,0,1,16,100,10.91,0,1.82,29.09,300,38,49,12.67,16.33,âi‡_(1929),135.0316889,35.65946683,65.86169
ãΩ,155,155,7,0,1,36,100,4.52,0,0.65,23.23,720,63,145,8.75,20.14,âi‡_(1929),135.0301448,35.6503643,307.6009
êÿî®,68,7,0,0,0,0,10.29,0,0,0,0,390,0,3,0,0.77,âi‡_(1929),135.0087987,35.61783787,3443.798
ê∂ñÏì‡,35,35,6,0,0,13,100,17.14,0,0,37.14,180,16,36,8.89,20,âi‡_(1929),135.0425983,35.64185526,148.0377
åˆèØ,12,12,0,0,0,0,100,0,0,0,0,75,7,15,9.33,20,âi‡_(1929),135.036056,35.65497242,338.4632
ìáçaêÏ,276,265,55,2,1,124,96.01,19.93,0.72,0.36,44.93,1377,177,158,12.85,11.47,âi‡_(1929),135.0520654,35.68145316,2721.187
íÜëTéõ,30,29,3,0,0,3,96.67,10,0,0,10,153,8,8,5.23,5.23,âi‡_(1929),135.0590195,35.66096416,1949.852
ä|í√,53,49,15,1,0,22,92.45,28.3,1.89,0,41.51,270,28,37,10.37,13.7,âi‡_(1929),135.0542294,35.69940747,3399.073
óV,44,35,3,0,0,2,79.55,6.82,0,0,4.55,240,7,27,2.92,11.25,âi‡_(1929),135.0620477,35.70481315,4277.698
éOí√,140,64,1,0,0,1,45.71,0.71,0,0,0.71,741,10,47,1.35,6.34,âi‡_(1929),135.0673642,35.71023661,4974.304
îˆç‚,8,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,âi‡_(1929),135.0779692,35.69643237,5398.557
íπéÊ,121,59,0,0,0,0,48.76,0,0,0,0,595,13,23,2.18,3.87,âi‡_(1929),135.078268,35.6770439,4379.305
ñÿã¥,99,56,2,0,0,3,56.57,2.02,0,0,3.03,490,20,44,4.08,8.98,âi‡_(1929),135.0728845,35.67122803,3571.078
òaìcñÏ,169,40,2,0,0,2,23.67,1.18,0,0,1.18,949,27,47,2.85,4.95,âi‡_(1929),135.0841219,35.65933071,3466.33
àÍíi,23,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,âi‡_(1929),135.1433038,35.72280301,11849.92
ëäêÏíJ,6,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,âi‡_(1929),135.1337836,35.69837799,9613.354
ê_éÂ,12,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,âi‡_(1929),135.1543709,35.71357507,12119.08
ëÂêŒ,8,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,âi‡_(1929),135.1501546,35.71217849,11726.68
óÕêŒ,26,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,âi‡_(1929),135.1417946,35.71360908,11261.76
ñÓî®,50,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,âi‡_(1929),135.12398,35.72352614,10238.13
ê•à¿,40,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,âi‡_(1929),135.1161952,35.71002349,9096.156
ãgâi,49,6,0,0,0,0,12.24,0,0,0,0,268,0,2,0,0.75,âi‡_(1929),135.117555,35.71561209,9391.716
ä‚ñÿ,53,5,0,0,0,0,9.43,0,0,0,0,278,0,0,0,0,âi‡_(1929),135.1098847,35.72265793,9029.307
ëÂéR,55,3,0,0,0,0,5.45,0,0,0,0,299,0,0,0,0,âi‡_(1929),135.0982186,35.72531015,8222.265
éOëÓ,17,3,0,0,0,0,17.65,0,0,0,0,190,0,0,0,0,âi‡_(1929),135.1044342,35.71319532,8183.124
ìøåı,107,7,1,0,0,1,6.54,0.93,0,0,0.93,510,0,3,0,0.59,âi‡_(1929),135.0904338,35.70771085,6792.324
ê¨äËéõ,86,12,1,0,1,0,13.95,1.16,0,1.16,0,386,8,4,2.07,1.04,âi‡_(1929),135.1067127,35.70708733,8186.114
çaíJ,219,9,1,0,0,1,4.11,0.46,0,0,0.46,1118,2,4,0.18,0.36,âi‡_(1929),135.0936882,35.65972433,4267.739
äOë∫,117,1,0,0,0,0,0.85,0,0,0,0,625,0,2,0,0.32,âi‡_(1929),135.1133471,35.65669217,5369.098
íÜñÏ,37,23,1,1,0,0,62.16,2.7,2.7,0,0,201,4,11,1.99,5.47,âi‡_(1929),135.072799,35.619927,891.3942
